datetime,sf6_conc,table_name,path
2023-03-24T16:33:19Z,2500.60009765625,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:35:59Z,2289.89990234375,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:38:44Z,2276.19995117188,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:41:29Z,2040.69995117188,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:44:05Z,1675.30004882813,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:46:45Z,1375.59997558594,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:49:25Z,1554.30004882813,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:52:05Z,1637.09997558594,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T16:54:45Z,1404.69995117188,airrec02,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T14:40:51Z,-0.288599997758865,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T14:43:31Z,-0.288500010967255,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T14:46:12Z,-0.298000007867813,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T14:48:52Z,-0.304399996995926,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T14:51:32Z,-0.0542600005865097,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T14:54:12Z,10.0930004119873,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T14:56:52Z,0.14954000711441,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T14:59:48Z,0.132589995861053,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:02:28Z,0.151470005512238,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:05:08Z,1.18280005455017,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:07:48Z,4.03900003433228,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:10:28Z,6.80410003662109,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:13:08Z,14.8830003738403,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:15:49Z,15.9569997787476,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:18:29Z,24.0650005340576,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:21:09Z,25.1359996795654,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:23:49Z,66.0550003051758,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:26:31Z,31.2830009460449,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:29:25Z,39.5219993591309,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:32:05Z,56.4869995117188,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:34:45Z,52.5919990539551,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:37:25Z,44.5480003356934,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:40:05Z,62.007999420166,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:42:46Z,70.0189971923828,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
2023-03-24T15:45:26Z,58.9889984130859,airrec03,./data/Air study_93 Henderson Road/L-Shape/01_Trial_24 Mar/INNOVA_240323.mdb
