datetime,vel,temperature,RH,equip_unit,s_r,loc,date_id
2023-05-22T14:45:35Z,0.29,30.1,68.4,VC-O,S,Room,220523
2023-05-22T14:46:35Z,0.28,30.2,68.5,VC-O,S,Room,220523
2023-05-22T14:47:35Z,0.28,30.2,68.5,VC-O,S,Room,220523
2023-05-22T14:48:35Z,0.28,30.2,68.4,VC-O,S,Room,220523
2023-05-22T14:49:35Z,0.29,30.2,68.3,VC-O,S,Room,220523
2023-05-22T14:50:35Z,0.28,30.2,68,VC-O,S,Room,220523
2023-05-22T14:51:35Z,0.29,30.2,68,VC-O,S,Room,220523
2023-05-22T14:52:35Z,0.29,30.2,68.1,VC-O,S,Room,220523
2023-05-22T14:53:35Z,0.3,30.2,68.3,VC-O,S,Room,220523
2023-05-22T14:54:35Z,0.28,30.2,68.4,VC-O,S,Room,220523
2023-05-22T14:55:35Z,0.31,30.2,68.4,VC-O,S,Room,220523
2023-05-22T14:56:35Z,0.31,30.2,68.4,VC-O,S,Room,220523
2023-05-22T14:57:35Z,0.27,30.2,68.1,VC-O,S,Room,220523
2023-05-22T14:58:35Z,0.29,30.2,67.8,VC-O,S,Room,220523
2023-05-22T14:59:35Z,0.26,30.2,67.6,VC-O,S,Room,220523
2023-05-22T15:00:35Z,0.33,30.2,67.2,VC-O,S,Room,220523
2023-05-22T15:01:35Z,0.29,30.2,67.3,VC-O,S,Room,220523
2023-05-22T15:02:35Z,0.29,30.2,67.6,VC-O,S,Room,220523
2023-05-22T15:03:35Z,0.27,30.2,68,VC-O,S,Room,220523
2023-05-22T15:04:35Z,0.33,30.2,68.1,VC-O,S,Room,220523
2023-05-22T15:05:35Z,0.29,30.2,67.4,VC-O,S,Room,220523
2023-05-22T15:06:35Z,0.28,30.2,67.2,VC-O,S,Room,220523
2023-05-22T15:07:35Z,0.29,30.2,67.3,VC-O,S,Room,220523
2023-05-22T15:08:35Z,0.29,30.2,67.4,VC-O,S,Room,220523
2023-05-22T15:09:35Z,0.27,30.2,67.5,VC-O,S,Room,220523
2023-05-22T15:10:35Z,0.26,30.2,67.7,VC-O,S,Room,220523
2023-05-22T15:11:35Z,0.33,30.2,67.8,VC-O,S,Room,220523
2023-05-22T15:12:35Z,0.31,30.2,68,VC-O,S,Room,220523
2023-05-22T15:13:35Z,0.29,30.2,68.1,VC-O,S,Room,220523
2023-05-22T15:14:35Z,0.28,30.2,68.1,VC-O,S,Room,220523
2023-05-22T15:15:35Z,0.29,30.2,68.2,VC-O,S,Room,220523
2023-05-22T15:16:35Z,0.29,30.2,68.2,VC-O,S,Room,220523
2023-05-22T15:17:35Z,0.3,30.2,68.3,VC-O,S,Room,220523
2023-05-22T15:18:35Z,0.28,30.2,68.4,VC-O,S,Room,220523
2023-05-22T15:19:35Z,0.28,30.2,68.6,VC-O,S,Room,220523
2023-05-22T15:20:35Z,0.3,30.2,68.8,VC-O,S,Room,220523
2023-05-22T15:21:35Z,0.29,30.3,68.7,VC-O,S,Room,220523
2023-05-22T15:22:35Z,0.31,30.3,68.2,VC-O,S,Room,220523
2023-05-22T15:23:35Z,0.29,30.3,68.2,VC-O,S,Room,220523
2023-05-22T15:24:35Z,0.28,30.3,68.2,VC-O,S,Room,220523
2023-05-22T15:25:35Z,0.28,30.3,67.7,VC-O,S,Room,220523
2023-05-22T15:26:35Z,0.27,30.4,67.2,VC-O,S,Room,220523
2023-05-22T15:27:35Z,0.26,30.3,67.1,VC-O,S,Room,220523
2023-05-22T15:28:35Z,0.29,30.3,67.4,VC-O,S,Room,220523
2023-05-22T15:29:35Z,0.3,30.3,67.6,VC-O,S,Room,220523
2023-05-22T15:30:35Z,0.29,30.3,67.7,VC-O,S,Room,220523
2023-05-22T15:31:35Z,0.29,30.3,68.1,VC-O,S,Room,220523
2023-05-22T15:32:35Z,0.28,30.3,68.3,VC-O,S,Room,220523
2023-05-22T15:33:35Z,0.29,30.3,68.4,VC-O,S,Room,220523
2023-05-22T15:34:35Z,0.29,30.3,68.5,VC-O,S,Room,220523
2023-05-22T15:35:35Z,0.32,30.3,68.7,VC-O,S,Room,220523
2023-05-22T15:36:35Z,0.3,30.3,68.8,VC-O,S,Room,220523
2023-05-22T15:37:35Z,0.28,30.3,68.7,VC-O,S,Room,220523
2023-05-22T15:38:35Z,0.31,30.3,68.6,VC-O,S,Room,220523
2023-05-22T15:39:35Z,0.3,30.3,68.7,VC-O,S,Room,220523
2023-05-22T15:40:35Z,0.28,30.3,68.8,VC-O,S,Room,220523
2023-05-22T15:41:35Z,0.3,30.4,68.9,VC-O,S,Room,220523
2023-05-22T15:42:35Z,0.28,30.4,68.9,VC-O,S,Room,220523
2023-05-22T12:50:13Z,0.25,30.2,73.8,VC-T,S,Window,220523
2023-05-22T12:51:13Z,0.12,30.3,73.9,VC-T,S,Window,220523
2023-05-22T12:52:13Z,0.57,30.3,73.1,VC-T,S,Window,220523
2023-05-22T12:53:13Z,0.21,30.4,73.1,VC-T,S,Window,220523
2023-05-22T12:54:13Z,0.22,30.4,73.2,VC-T,S,Window,220523
2023-05-22T12:55:13Z,0.2,30.4,73.3,VC-T,S,Window,220523
2023-05-22T12:56:13Z,0.17,30.4,72.9,VC-T,S,Window,220523
2023-05-22T12:57:13Z,0.21,30.4,72.3,VC-T,S,Window,220523
2023-05-22T12:58:13Z,0.18,30.4,71.8,VC-T,S,Window,220523
2023-05-22T12:59:13Z,0.27,30.4,71.1,VC-T,S,Window,220523
2023-05-22T13:00:13Z,0.17,30.5,70.4,VC-T,S,Window,220523
2023-05-22T13:01:13Z,0.15,30.5,70.6,VC-T,S,Window,220523
2023-05-22T13:02:13Z,0.18,30.5,70.6,VC-T,S,Window,220523
2023-05-22T13:03:13Z,0.27,30.4,70.7,VC-T,S,Window,220523
2023-05-22T13:04:13Z,0.2,30.4,70.5,VC-T,S,Window,220523
2023-05-22T13:05:13Z,0.17,30.4,70.5,VC-T,S,Window,220523
2023-05-22T13:06:13Z,0.14,30.4,70.8,VC-T,S,Window,220523
2023-05-22T13:07:13Z,0.18,30.5,70.8,VC-T,S,Window,220523
2023-05-22T13:08:13Z,0.24,30.4,71.1,VC-T,S,Window,220523
2023-05-22T13:09:13Z,0.21,30.4,71.4,VC-T,S,Window,220523
2023-05-22T13:10:13Z,0.16,30.4,71.1,VC-T,S,Window,220523
2023-05-22T13:11:13Z,0.2,30.5,70.8,VC-T,S,Window,220523
2023-05-22T13:12:13Z,0.26,30.5,70,VC-T,S,Window,220523
