datetime,wind_sensor_unit,vel_mag_WIMDA_19,vel_mag_WIMWV_3,temp_WIMDA_5,rh_WIMDA_9,vel_angle_WIMDA_13,vel_angle_WIMWV_1
2023-04-21T11:50:00Z,7,0.477777777777778,0.485863777777778,24.5333333333333,74.3,356.40319536168,5.13196052678063
2023-04-21T11:51:00Z,7,0.275,0.34982192,24.5875,74.1875,337.129925703,11.6982291985265
2023-04-21T11:52:00Z,7,0.766666666666667,0.783098088888889,24.5,74.1444444444445,166.406129125154,175.212393323933
2023-04-21T11:53:00Z,7,0.355555555555556,0.4887218,24.4777777777778,73.8666666666667,124.42767245517,135.791138623481
2023-04-21T11:54:00Z,7,0.55,0.5438408,24.4125,73.6125,62.641871478143,74.8301065488224
2023-04-21T11:55:00Z,7,0.366666666666667,0.38068856,24.3777777777778,73.4777777777778,132.378197578846,118.985798191571
2023-04-21T11:56:00Z,7,0.5875,0.49515235,24.3375,73.3,158.670821749839,143.294285921706
2023-04-21T11:57:00Z,7,0.422222222222222,0.49515235,24.3111111111111,73.3111111111111,112.182759401553,108.024932410289
2023-04-21T11:58:00Z,7,0.6125,0.703073466666667,24.3875,73.475,23.8168423935895,25.6041340082475
2023-04-21T11:59:00Z,7,0.233333333333333,0.240073866666667,24.4777777777778,73.5111111111111,23.6514950211356,23.7014985072359
2023-04-21T12:00:00Z,7,0.266666666666667,0.33953304,24.4333333333333,73.1888888888889,176.315118299635,82.4144625606249
2023-04-21T12:01:00Z,7,0.3875,0.44242184,24.425,72.8875,3.01705169050715,61.0061074649666
2023-04-21T12:02:00Z,7,0.288888888888889,0.297234311111111,24.4555555555556,73.0111111111111,82.0036232689476,88.4192237516395
2023-04-21T12:03:00Z,7,0.4,0.33953304,24.6,73.12,28.8310184844816,37.8250001736116
2023-04-21T12:04:00Z,7,0.4,0.43084685,24.4875,72.7375,355.01592576637,21.0469006002273
2023-04-21T12:05:00Z,7,0.333333333333333,0.3601108,24.4888888888889,72.5111111111111,196.317600422067,166.361659661413
2023-04-21T12:06:00Z,7,0.5875,0.6467296,24.2875,72.2,169.615429259957,177.033379738233
2023-04-21T12:07:00Z,7,0.788888888888889,0.845158,24.2444444444445,72.0666666666667,148.744183700706,156.189494437368
2023-04-21T12:08:00Z,7,0.7625,0.6944994,24.0875,71.825,128.9305773566,120.996996332828
2023-04-21T12:09:00Z,7,0.422222222222222,0.44370795,24.2444444444445,72.3333333333333,154.85169371519,121.643472394209
2023-04-21T12:10:00Z,7,0.444444444444444,0.3729719,24.3111111111111,72.3333333333333,332.660712607446,352.021941691616
2023-04-21T12:11:00Z,7,0.35,0.385833,24.3625,72.1375,348.761378537016,5.65242161886539
2023-04-21T12:12:00Z,7,0.388888888888889,0.37940245,24.4333333333333,72.0555555555556,348.894165744964,9.62311957926238
2023-04-21T12:13:00Z,7,0.225,0.317240466666667,24.4,71.9125,340.769986175505,7.18166735269318
2023-04-21T12:14:00Z,7,0.377777777777778,0.3821584,24.4333333333333,71.6333333333333,21.7560463356466,19.7238063837325
2023-04-21T12:15:00Z,7,0.525,0.5916106,24.3625,71.45,169.929200519291,171.089470457409
2023-04-21T12:16:00Z,7,0.366666666666667,0.351536733333333,24.3666666666667,71.5666666666667,160.765049753894,113.540264910173
2023-04-21T12:17:00Z,7,0.48,0.42184408,24.4,71.76,160.136315099122,130.279366811595
2023-04-21T12:18:00Z,7,0.4625,0.4850472,24.35,71.6125,160.118078180516,158.127173239289
2023-04-21T12:19:00Z,7,0.377777777777778,0.4244163,24.3,71.4777777777778,159.314008267139,179.599496816206
2023-04-21T12:20:00Z,7,0.466666666666667,0.477698,24.2777777777778,71.5555555555556,125.244543468374,104.183806857068
2023-04-21T12:21:00Z,7,0.375,0.514444,24.4,71.6,12.3529857650624,15.0575141223037
2023-04-21T12:22:00Z,7,0.366666666666667,0.4923964,24.5444444444445,71.7,59.249662563709,30.3842104020713
2023-04-21T12:23:00Z,7,0.475,0.40126632,24.425,71.425,150.621506302281,148.133537227577
2023-04-21T12:24:00Z,7,0.555555555555556,0.6687772,24.3666666666667,71.3111111111111,124.604733112934,128.677914392903
2023-04-21T12:25:00Z,7,0.4375,0.471573666666667,24.275,70.9875,40.0941927822184,25.6425310389916
2023-04-21T12:26:00Z,7,0.466666666666667,0.451567511111111,24.2666666666667,71.1,143.458002081479,133.075919456916
2023-04-21T12:27:00Z,7,0.411111111111111,0.4629996,24.3777777777778,71.2222222222222,16.0466405706663,21.6668136978804
2023-04-21T12:28:00Z,7,0.35,0.43084685,24.4625,71.1375,19.2811209156303,23.236420868271
2023-04-21T12:29:00Z,7,0.322222222222222,0.3380632,24.4777777777778,70.8222222222222,25.7492081399415,29.8699672580384
2023-04-21T12:30:00Z,7,0.3375,0.3086664,24.5125,70.725,59.9580380600078,92.1759450311644
2023-04-21T12:31:00Z,7,0.38,0.39097744,24.66,70.88,11.8662429378698,21.4593768587586
2023-04-21T12:32:00Z,7,0.288888888888889,0.3343886,24.7444444444444,70.9555555555556,73.5573358022159,71.2770629649228
2023-04-21T12:33:00Z,7,0.35,0.3748092,24.525,70.1625,7.62517871587741,30.838939059239
2023-04-21T12:34:00Z,7,0.477777777777778,0.377258933333333,24.4666666666667,69.9888888888889,136.681594039777,122.27889038944
2023-04-21T12:35:00Z,7,0.4625,0.4887218,24.4875,70.125,61.5394909895654,83.102269900929
2023-04-21T12:36:00Z,7,0.4,0.39226355,24.5222222222222,69.9777777777778,24.051352166184,26.1322512289755
2023-04-21T12:37:00Z,7,0.444444444444444,0.514444,24.6666666666667,70.1222222222222,24.5298190629646,28.2863173362155
2023-04-21T12:38:00Z,7,0.4,0.385833,24.75,70.4625,6.62808405940677,25.59989149751
2023-04-21T12:39:00Z,7,0.377777777777778,0.371542888888889,24.7444444444445,70.2333333333333,138.388431095052,147.599865356889
2023-04-21T12:40:00Z,7,0.475,0.523018066666667,24.675,70,136.567578244153,153.537031457853
2023-04-21T12:41:00Z,7,0.477777777777778,0.477698,24.8,70.3,24.4670282130899,26.515685389839
2023-04-21T12:42:00Z,7,0.5,0.477698,24.75,70.1625,59.6963555205555,101.469451443773
2023-04-21T12:43:00Z,7,0.422222222222222,0.4115552,24.7444444444445,69.9888888888889,14.1856854791818,28.4088193484991
2023-04-21T12:44:00Z,7,0.444444444444444,0.5070948,24.8,69.9777777777778,15.2968095806974,14.4348275816538
