datetime,equip_unit,vel,temp,rh
2023-05-22T14:03:00Z,O,0.3,30,70.9
2023-05-22T14:04:00Z,O,0.3,30,70.9
2023-05-22T14:05:00Z,O,0.29,30,70.8
2023-05-22T14:06:00Z,O,0.33,30,70.5
2023-05-22T14:07:00Z,O,0.33,30,70.3
2023-05-22T14:08:00Z,O,0.29,29.9,70.4
2023-05-22T14:09:00Z,O,0.32,29.9,70.3
2023-05-22T14:10:00Z,O,0.27,29.9,70.1
2023-05-22T14:11:00Z,O,0.26,30,70
2023-05-22T14:12:00Z,O,0.31,29.9,69.9
2023-05-22T14:13:00Z,O,0.29,29.9,70
2023-05-22T14:14:00Z,O,0.29,29.9,70
2023-05-22T14:15:00Z,O,0.26,30,70
2023-05-22T14:16:00Z,O,0.28,30,69.9
2023-05-22T14:17:00Z,O,0.27,30,69.9
2023-05-22T14:18:00Z,O,0.35,30,69.8
2023-05-22T14:19:00Z,O,0.31,30,69.6
2023-05-22T14:20:00Z,O,0.28,30,69.7
2023-05-22T14:21:00Z,O,0.28,30.1,69.4
2023-05-22T14:22:00Z,O,0.28,30.1,69
2023-05-22T14:23:00Z,O,0.28,30.1,69
2023-05-22T14:24:00Z,O,0.31,30.1,68.9
2023-05-22T14:25:00Z,O,0.28,30.1,68.5
2023-05-22T14:26:00Z,O,0.29,30.1,68.3
2023-05-22T14:27:00Z,O,0.28,30.1,68.1
2023-05-22T14:28:00Z,O,0.28,30.1,67.9
2023-05-22T14:29:00Z,O,0.3,30.1,67.8
2023-05-22T14:30:00Z,O,0.29,30.1,68
2023-05-22T14:31:00Z,O,0.34,30.1,68.3
2023-05-22T14:32:00Z,O,0.31,30.1,68.5
2023-05-22T14:33:00Z,O,0.3,30.1,68.8
2023-05-22T14:34:00Z,O,0.28,30.1,68.6
2023-05-22T14:35:00Z,O,0.31,30.1,68.6
2023-05-22T14:36:00Z,O,0.28,30.1,68.7
2023-05-22T14:37:00Z,O,0.28,30,68.6
2023-05-22T14:38:00Z,O,0.31,30,68.7
2023-05-22T14:39:00Z,O,0.27,30,68.9
2023-05-22T14:40:00Z,O,0.29,30,68.5
2023-05-22T14:41:00Z,O,0.3,30.1,68.4
2023-05-22T14:42:00Z,O,0.29,30.1,68.3
2023-05-22T14:43:00Z,O,0.27,30.1,68.4
2023-05-22T14:44:00Z,O,0.28,30,68.6
2023-05-22T14:45:00Z,O,0.29,30.1,68.4
2023-05-22T14:46:00Z,O,0.28,30.2,68.5
2023-05-22T14:47:00Z,O,0.28,30.2,68.5
2023-05-22T14:48:00Z,O,0.28,30.2,68.4
2023-05-22T14:49:00Z,O,0.29,30.2,68.3
2023-05-22T14:50:00Z,O,0.28,30.2,68
2023-05-22T14:51:00Z,O,0.29,30.2,68
2023-05-22T14:52:00Z,O,0.29,30.2,68.1
2023-05-22T14:53:00Z,O,0.3,30.2,68.3
2023-05-22T14:54:00Z,O,0.28,30.2,68.4
2023-05-22T14:55:00Z,O,0.31,30.2,68.4
2023-05-22T14:56:00Z,O,0.31,30.2,68.4
2023-05-22T14:57:00Z,O,0.27,30.2,68.1
2023-05-22T14:58:00Z,O,0.29,30.2,67.8
2023-05-22T14:59:00Z,O,0.26,30.2,67.6
2023-05-22T15:00:00Z,O,0.33,30.2,67.2
2023-05-22T15:01:00Z,O,0.29,30.2,67.3
2023-05-22T15:02:00Z,O,0.29,30.2,67.6
2023-05-22T15:03:00Z,O,0.27,30.2,68
2023-05-22T15:04:00Z,O,0.33,30.2,68.1
2023-05-22T15:05:00Z,O,0.29,30.2,67.4
2023-05-22T15:06:00Z,O,0.28,30.2,67.2
2023-05-22T15:07:00Z,O,0.29,30.2,67.3
2023-05-22T15:08:00Z,O,0.29,30.2,67.4
2023-05-22T15:09:00Z,O,0.27,30.2,67.5
2023-05-22T15:10:00Z,O,0.26,30.2,67.7
2023-05-22T15:11:00Z,O,0.33,30.2,67.8
2023-05-22T15:12:00Z,O,0.31,30.2,68
2023-05-22T15:13:00Z,O,0.29,30.2,68.1
2023-05-22T15:14:00Z,O,0.28,30.2,68.1
2023-05-22T15:15:00Z,O,0.29,30.2,68.2
2023-05-22T15:16:00Z,O,0.29,30.2,68.2
2023-05-22T15:17:00Z,O,0.3,30.2,68.3
2023-05-22T15:18:00Z,O,0.28,30.2,68.4
2023-05-22T15:19:00Z,O,0.28,30.2,68.6
2023-05-22T15:20:00Z,O,0.3,30.2,68.8
2023-05-22T15:21:00Z,O,0.29,30.3,68.7
2023-05-22T15:22:00Z,O,0.31,30.3,68.2
2023-05-22T15:23:00Z,O,0.29,30.3,68.2
2023-05-22T15:24:00Z,O,0.28,30.3,68.2
2023-05-22T15:25:00Z,O,0.28,30.3,67.7
2023-05-22T15:26:00Z,O,0.27,30.4,67.2
2023-05-22T15:27:00Z,O,0.26,30.3,67.1
2023-05-22T15:28:00Z,O,0.29,30.3,67.4
2023-05-22T15:29:00Z,O,0.3,30.3,67.6
2023-05-22T15:30:00Z,O,0.29,30.3,67.7
2023-05-22T15:31:00Z,O,0.29,30.3,68.1
2023-05-22T15:32:00Z,O,0.28,30.3,68.3
2023-05-22T15:33:00Z,O,0.29,30.3,68.4
2023-05-22T15:34:00Z,O,0.29,30.3,68.5
2023-05-22T15:35:00Z,O,0.32,30.3,68.7
2023-05-22T15:36:00Z,O,0.3,30.3,68.8
2023-05-22T15:37:00Z,O,0.28,30.3,68.7
2023-05-22T15:38:00Z,O,0.31,30.3,68.6
2023-05-22T15:39:00Z,O,0.3,30.3,68.7
2023-05-22T15:40:00Z,O,0.28,30.3,68.8
2023-05-22T15:41:00Z,O,0.3,30.4,68.9
2023-05-22T15:42:00Z,O,0.28,30.4,68.9
2023-05-22T12:50:00Z,T,0.25,30.2,73.8
2023-05-22T12:51:00Z,T,0.12,30.3,73.9
2023-05-22T12:52:00Z,T,0.57,30.3,73.1
2023-05-22T12:53:00Z,T,0.21,30.4,73.1
2023-05-22T12:54:00Z,T,0.22,30.4,73.2
2023-05-22T12:55:00Z,T,0.2,30.4,73.3
2023-05-22T12:56:00Z,T,0.17,30.4,72.9
2023-05-22T12:57:00Z,T,0.21,30.4,72.3
2023-05-22T12:58:00Z,T,0.18,30.4,71.8
2023-05-22T12:59:00Z,T,0.27,30.4,71.1
2023-05-22T13:00:00Z,T,0.17,30.5,70.4
2023-05-22T13:01:00Z,T,0.15,30.5,70.6
2023-05-22T13:02:00Z,T,0.18,30.5,70.6
2023-05-22T13:03:00Z,T,0.27,30.4,70.7
2023-05-22T13:04:00Z,T,0.2,30.4,70.5
2023-05-22T13:05:00Z,T,0.17,30.4,70.5
2023-05-22T13:06:00Z,T,0.14,30.4,70.8
2023-05-22T13:07:00Z,T,0.18,30.5,70.8
2023-05-22T13:08:00Z,T,0.24,30.4,71.1
2023-05-22T13:09:00Z,T,0.21,30.4,71.4
2023-05-22T13:10:00Z,T,0.16,30.4,71.1
2023-05-22T13:11:00Z,T,0.2,30.5,70.8
2023-05-22T13:12:00Z,T,0.26,30.5,70
2023-05-22T13:13:00Z,T,0.19,30.6,70.1
2023-05-22T13:14:00Z,T,0.16,30.6,70.1
2023-05-22T13:15:00Z,T,0.17,30.6,70.4
2023-05-22T13:16:00Z,T,0.23,30.6,69.8
2023-05-22T13:17:00Z,T,0.32,30.5,68.9
2023-05-22T13:18:00Z,T,0.19,30.5,69
2023-05-22T13:19:00Z,T,0.21,30.5,69.1
2023-05-22T13:20:00Z,T,0.24,30.5,69.3
2023-05-22T13:21:00Z,T,0.22,30.5,69.4
2023-05-22T13:22:00Z,T,0.22,30.5,69.7
2023-05-22T13:23:00Z,T,0.18,30.5,69.7
2023-05-22T13:24:00Z,T,0.26,30.6,69.6
2023-05-22T13:25:00Z,T,0.25,30.5,69.6
2023-05-22T13:26:00Z,T,0.22,30.6,69.5
2023-05-22T13:27:00Z,T,0.25,30.6,69.1
2023-05-22T13:28:00Z,T,0.17,30.6,69.1
2023-05-22T13:29:00Z,T,0.16,30.7,68.8
2023-05-22T13:30:00Z,T,0.18,30.7,68.8
2023-05-22T13:31:00Z,T,0.25,30.7,68.6
2023-05-22T13:32:00Z,T,0.16,30.7,68.4
2023-05-22T13:33:00Z,T,0.16,30.7,68.2
2023-05-22T13:34:00Z,T,0.17,30.7,67.8
2023-05-22T13:35:00Z,T,0.14,30.8,67.6
2023-05-22T13:36:00Z,T,0.19,30.8,67.6
2023-05-22T13:37:00Z,T,0.2,30.8,67.6
2023-05-22T13:38:00Z,T,0.2,30.7,67.4
2023-05-22T13:39:00Z,T,0.19,30.7,67.8
2023-05-22T13:40:00Z,T,0.16,30.7,68.1
2023-05-22T13:41:00Z,T,0.17,30.8,68
2023-05-22T13:42:00Z,T,0.21,30.8,67.7
2023-05-22T13:43:00Z,T,0.28,30.7,67.8
2023-05-22T13:44:00Z,T,0.25,30.6,68
2023-05-22T13:45:00Z,T,0.16,30.6,68.4
2023-05-22T13:46:00Z,T,0.19,30.6,68.6
2023-05-22T13:47:00Z,T,0.12,30.6,68.7
2023-05-22T13:48:00Z,T,0.16,30.7,68.8
2023-05-22T13:49:00Z,T,0.19,30.7,68.7
2023-05-22T13:50:00Z,T,0.19,30.8,68.5
2023-05-22T13:51:00Z,T,0.22,30.8,68.2
2023-05-22T13:52:00Z,T,0.27,30.8,68
2023-05-22T13:53:00Z,T,0.22,30.8,66.8
2023-05-22T13:54:00Z,T,0.16,30.7,67.6
2023-05-22T13:55:00Z,T,0.2,30.8,67.9
2023-05-22T13:56:00Z,T,0.17,30.8,68.2
2023-05-22T13:57:00Z,T,0.22,30.7,68.3
2023-05-22T13:58:00Z,T,0.26,30.7,68.8
2023-05-22T13:59:00Z,T,0.28,30.7,68.9
2023-05-22T14:00:00Z,T,0.28,30.6,69
2023-05-22T14:01:00Z,T,0.26,30.6,69.3
2023-05-22T14:02:00Z,T,0.24,30.6,69.3
2023-05-22T14:03:00Z,T,0.31,30.6,69.2
2023-05-22T14:04:00Z,T,0.23,30.6,69.2
2023-05-22T14:05:00Z,T,0.25,30.6,68.6
2023-05-22T14:06:00Z,T,0.2,30.6,67.9
2023-05-22T14:07:00Z,T,0.15,30.6,67.8
2023-05-22T14:08:00Z,T,0.23,30.6,67.9
2023-05-22T14:09:00Z,T,0.22,30.7,67.5
2023-05-22T14:10:00Z,T,0.15,30.7,67.6
